original_price,discount_rate,user_offer,round_number,category_encoded,gap_pct,threshold_gap_pct,user_offer_pct,round_progress,is_regular,total_orders,tenure_days,loyalty_factor,negotiation_momentum,aggression_score,price_anchor_ratio,deal_prob_estimate,market_encoded,abs_gap_norm,prev_user_offer_pct,ai_counter_offer
57930,0.12019309061021395,42370,3,0,0.2686,-0.1485,0.7313,0.5,0,4,5,0.0,0.0796,1.0,0.7314,0.0,2,0.1957,0.6518,52200
19080,0.1823001218682055,18520,6,2,0.0294,0.153,0.9705,1.0,0,4,22,0.0,0.0681,0.0,0.9706,1.0,1,0.0284,0.9023,15600
14060,0.3980148983374865,8930,6,1,0.3649,0.0334,0.6353,1.0,0,2,9,0.0,0.0789,0.8321,0.6351,0.2229,1,0.3466,0.5561,8460
12760,0.11831066572101441,10160,6,1,0.2038,-0.0854,0.7963,1.0,1,29,437,0.0465,0.0643,1.0,0.7962,0.0,1,0.1757,0.7316,11250
15940,0.06773522924998192,15170,6,0,0.0483,0.0194,0.9514,1.0,0,1,22,0.0,0.0276,0.4259,0.9517,0.1297,1,0.0097,0.9244,14860
900,0.49182839973973896,660,6,5,0.2667,0.2222,0.7279,1.0,1,58,1032,0.06,0.0111,0.0909,0.7333,1.0,1,0.0495,0.7249,460
1930,0.1185897742420593,1190,6,4,0.3834,-0.2642,0.6169,1.0,1,56,685,0.06,0.0415,1.0,0.6166,0.0,1,0.3895,0.5736,1700
1460,0.056160127515181374,1080,3,4,0.2603,-0.2055,0.7404,0.5,1,27,1180,0.06,0.0,1.0,0.7397,0.0,0,0.2,0.7384,1380
6750,0.1698936795787016,6020,6,1,0.1081,0.0622,0.8917,1.0,1,43,733,0.06,0.0222,0.2696,0.8919,0.4397,0,0.0493,0.8693,5600
900,0.08715964842517362,650,3,4,0.2778,-0.1889,0.7237,0.5,0,0,29,0.0,0.0111,1.0,0.7222,0.0,1,0.1316,0.7145,820
7680,0.33241954196777285,4570,4,3,0.4049,-0.0729,0.5954,0.6667,1,9,1153,0.0551,0.0312,1.0,0.5951,0.0,2,0.3173,0.5636,5130
430,0.5167181540397415,390,1,1,0.093,0.4186,0.8978,0.1667,1,20,287,0.0315,0.0,0.0,0.907,0.6017,1,0.0027,0.8978,230
13640,0.2793468166687733,11760,1,2,0.1378,0.1415,0.8619,0.1667,1,7,1096,0.0508,0.0,0.0,0.8622,0.5782,0,0.0954,0.8619,9830
2300,0.18204067912979155,1500,5,3,0.3478,-0.1652,0.6503,0.8333,0,1,9,0.0,0.0087,1.0,0.6522,0.0,1,0.0816,0.6446,1880
1880,0.05587794900134694,1490,1,4,0.2074,-0.1489,0.7933,0.1667,0,0,23,0.0,0.0,1.0,0.7926,0.0,1,0.2053,0.7933,1770
8430,0.19880723431711328,6590,6,2,0.2183,-0.019,0.782,1.0,1,39,902,0.06,0.0546,1.0,0.7817,0.0,0,0.0934,0.7276,6750
3340,0.36343312997367017,2370,1,3,0.2904,0.0719,0.7109,0.1667,1,13,484,0.0324,0.0,0.6033,0.7096,0.2885,0,0.099,0.7109,2130
9520,0.25070326084315014,6020,5,3,0.3676,-0.1166,0.6325,0.8333,0,4,22,0.0,0.0441,1.0,0.6324,0.0,0,0.3571,0.5882,7130
210,0.13242933234856036,180,5,4,0.1429,0.0,0.8619,0.8333,1,13,1127,0.0581,0.0476,1.0,0.8571,0.0,1,0.0158,0.8055,180
1700,0.09205340305749872,1000,5,1,0.4118,-0.3176,0.5873,0.8333,0,4,4,0.0,0.0706,1.0,0.5882,0.0,1,0.0473,0.5159,1540
1640,0.19208728660757884,1330,1,4,0.189,0.0061,0.8111,0.1667,1,23,474,0.042,0.0,0.9375,0.811,0.0247,1,0.1632,0.8111,1320
4360,0.3672240347831576,3150,6,3,0.2775,0.0894,0.723,1.0,0,3,7,0.0,0.0367,0.5125,0.7225,0.5963,1,0.1235,0.6855,2760
19380,0.1500557232180062,13390,4,0,0.3091,-0.1589,0.6911,0.6667,1,48,714,0.06,0.0175,1.0,0.6909,0.0,1,0.0753,0.6732,16470
1790,0.129155166362945,1410,3,4,0.2123,-0.0838,0.7858,0.5,0,0,16,0.0,0.0559,1.0,0.7877,0.0,2,0.2,0.7301,1560
830,0.1605651058764529,590,3,4,0.2892,-0.1325,0.7091,0.5,0,3,20,0.0,0.0723,1.0,0.7108,0.0,1,0.1263,0.6379,700
7060,0.2266761140130264,4090,2,1,0.4207,-0.1941,0.5793,0.3333,0,0,8,0.0,0.0212,1.0,0.5793,0.0,2,0.2007,0.5585,5460
1510,0.07667013285970711,1370,6,3,0.0927,-0.0132,0.9087,1.0,0,1,26,0.0,0.0464,1.0,0.9073,0.0,1,0.0143,0.8596,1390
880,0.16664034256028387,670,2,4,0.2386,-0.0682,0.7591,0.3333,0,2,26,0.0,0.0455,1.0,0.7614,0.0,2,0.1105,0.7116,730
22240,0.06409387416273178,19100,6,0,0.1412,-0.0769,0.8589,1.0,1,27,1026,0.06,0.0598,1.0,0.8588,0.0,1,0.0395,0.7989,20810
1710,0.08710221526147965,950,6,4,0.4444,-0.3567,0.5553,1.0,0,0,16,0.0,0.0234,1.0,0.5556,0.0,0,0.4,0.5333,1560
17090,0.27076273550979424,11520,5,2,0.3259,-0.055,0.6742,0.8333,0,4,20,0.0,0.0468,1.0,0.6741,0.0,1,0.2827,0.627,12460
1180,0.1113671640140464,1040,4,5,0.1186,-0.0085,0.8781,0.6667,1,55,476,0.06,0.0508,1.0,0.8814,0.0,1,0.0289,0.8272,1050
32030,0.2055216750569684,29690,3,0,0.0731,0.1324,0.9271,0.5,1,21,1013,0.06,0.0365,0.0,0.9269,0.7016,1,0.0294,0.8903,25450
1040,0.09931274154312625,840,3,4,0.1923,-0.0962,0.8088,0.5,0,2,21,0.0,0.0385,1.0,0.8077,0.0,0,0.1053,0.7658,940
8990,0.21588657409200535,7880,5,3,0.1235,0.0923,0.8765,0.8333,1,22,633,0.0473,0.0178,0.1443,0.8765,0.5909,1,0.1133,0.8586,7050
1510,0.11031793555030041,1440,1,1,0.0464,0.0662,0.9525,0.1667,0,1,12,0.0,0.0,0.0,0.9536,0.2575,2,0.0047,0.9525,1340
41180,0.08924442067904843,28460,5,0,0.3089,-0.2195,0.691,0.8333,1,56,748,0.06,0.0068,1.0,0.6911,0.0,1,0.16,0.6843,37500
3840,0.28906958928809035,2800,2,5,0.2708,0.0182,0.7295,0.3333,1,51,948,0.06,0.0208,0.8739,0.7292,0.0859,2,0.2144,0.7093,2730
770,0.10957457487561238,590,1,4,0.2338,-0.1299,0.7674,0.1667,1,21,115,0.0256,0.0,1.0,0.7662,0.0,0,0.0947,0.7674,690
3650,0.2214634321391301,3380,1,1,0.074,0.1479,0.9252,0.1667,0,3,14,0.0,0.0,0.0,0.926,0.5753,1,0.0182,0.9252,2840
30610,0.1343617084679795,26580,4,0,0.1317,0.0026,0.8684,0.6667,1,41,691,0.06,0.0284,0.9611,0.8683,0.0154,1,0.0507,0.8399,26500
570,0.07410220598893336,390,3,4,0.3158,-0.2456,0.6773,0.5,1,7,272,0.0179,0.0175,1.0,0.6842,0.0,2,0.0947,0.6728,530
2530,0.37530324347979904,2190,6,5,0.1344,0.2411,0.8648,1.0,0,3,4,0.0,0.0474,0.0,0.8656,1.0,0,0.0701,0.819,1580
3600,0.1397781173022439,1890,4,5,0.475,-0.3361,0.5253,0.6667,0,4,29,0.0,0.025,1.0,0.525,0.0,0,0.3526,0.5,3100
7570,0.23170718888763986,5430,5,2,0.2827,-0.0515,0.7178,0.8333,1,5,358,0.0193,0.0251,1.0,0.7173,0.0,1,0.1086,0.692,5820
38120,0.20152547026395967,26860,3,0,0.2954,-0.0939,0.7045,0.5,1,18,405,0.0342,0.0666,1.0,0.7046,0.0,2,0.1416,0.638,31890
3940,0.42257339922987136,2110,5,5,0.4645,-0.0431,0.536,0.8333,1,18,603,0.0421,0.0127,1.0,0.5355,0.0,2,0.3773,0.5229,2280
5970,0.2890437221959964,5270,6,3,0.1173,0.1725,0.8823,1.0,0,0,24,0.0,0.0436,0.0,0.8827,1.0,1,0.0714,0.8391,4240
13620,0.36211899795699604,10980,3,1,0.1938,0.1681,0.8065,0.5,1,56,1068,0.06,0.058,0.071,0.8062,0.795,1,0.1784,0.7481,8690
1510,0.13597262738860832,860,5,4,0.4305,-0.2914,0.5686,0.8333,1,8,627,0.0331,0.0199,1.0,0.5695,0.0,1,0.3421,0.5487,1300
12350,0.10531586847760362,10830,4,1,0.1231,-0.0178,0.877,0.6667,0,4,14,0.0,0.0397,1.0,0.8769,0.0,1,0.1027,0.8368,11050
7260,0.27440167150985406,6580,3,3,0.0937,0.1804,0.9062,0.5,1,14,901,0.05,0.0482,0.0,0.9063,0.7875,1,0.0694,0.8583,5270
2470,0.3431149160083986,1370,6,1,0.4453,-0.1012,0.5563,1.0,1,48,385,0.06,0.0526,1.0,0.5547,0.0,0,0.0743,0.5,1620
430,0.27797852384588617,380,1,3,0.1163,0.1628,0.8777,0.1667,0,4,13,0.0,0.0,0.0,0.8837,0.5833,1,0.0051,0.8777,310
450,0.17562361835037382,380,1,4,0.1556,0.0222,0.8549,0.1667,1,25,998,0.06,0.0,0.75,0.8444,0.0916,2,0.0368,0.8549,370
1630,0.05069480345069043,960,1,4,0.411,-0.362,0.5912,0.1667,1,42,415,0.0586,0.0,1.0,0.589,0.0,1,0.3526,0.5912,1550
4720,0.23097580645307736,2960,3,2,0.3729,-0.1419,0.6271,0.5,0,0,16,0.0,0.0127,1.0,0.6271,0.0,1,0.0893,0.6138,3630
1300,0.05196416848825005,1270,5,4,0.0231,0.0308,0.9736,0.8333,1,26,505,0.0462,0.0385,0.0,0.9769,0.1967,1,0.0158,0.9369,1230
32090,0.15669722633418737,19350,3,0,0.397,-0.2403,0.603,0.5,0,2,17,0.0,0.0499,1.0,0.603,0.0,1,0.1603,0.553,27240
36540,0.18109756733189503,31030,4,0,0.1508,0.0304,0.8492,0.6667,0,4,22,0.0,0.0613,0.6647,0.8492,0.1688,1,0.0693,0.788,29920
7990,0.4503748857430605,7550,4,1,0.0551,0.3955,0.9454,0.6667,1,7,472,0.0259,0.0325,0.0,0.9449,0.8549,0,0.0297,0.9128,4390
740,0.13541652766452505,580,3,4,0.2162,-0.0811,0.7819,0.5,0,2,15,0.0,0.0135,1.0,0.7838,0.0,1,0.0842,0.774,640
720,0.0630387522425524,390,2,4,0.4583,-0.3889,0.5457,0.3333,0,3,28,0.0,0.0,1.0,0.5417,0.0,1,0.1737,0.5436,670
9120,0.2686664448651379,5320,3,3,0.4167,-0.148,0.5835,0.5,0,4,4,0.0,0.0471,1.0,0.5833,0.0,1,0.3878,0.5363,6670
3450,0.537273632599435,2380,4,1,0.3101,0.2261,0.6911,0.6667,1,36,750,0.06,0.0377,0.1568,0.6899,0.8833,0,0.0723,0.6521,1600
4180,0.32081710733043345,3250,5,1,0.2225,0.0981,0.7767,0.8333,0,1,25,0.0,0.0526,0.3881,0.7775,0.5994,2,0.0628,0.7251,2840
1840,0.06766266243352118,1360,4,4,0.2609,-0.1957,0.7375,0.6667,0,3,22,0.0,0.0326,1.0,0.7391,0.0,2,0.2526,0.705,1720
360,0.18500279627721578,280,6,4,0.2222,-0.0278,0.7852,1.0,0,1,12,0.0,0.0556,1.0,0.7778,0.0,2,0.0421,0.7345,290
380,0.12482751594023574,200,3,5,0.4737,-0.3421,0.5199,0.5,0,2,7,0.0,0.0263,1.0,0.5263,0.0,1,0.0371,0.5,330
14470,0.16884868624927002,11910,3,2,0.1769,-0.0083,0.8231,0.5,0,0,25,0.0,0.076,1.0,0.8231,0.0,1,0.1299,0.7468,12030
900,0.33049964790724584,460,2,5,0.4889,-0.1556,0.5165,0.3333,0,2,7,0.0,0.0111,1.0,0.5111,0.0,0,0.0907,0.5,600
1320,0.08888267203947854,1040,4,1,0.2121,-0.1212,0.7908,0.6667,0,3,26,0.0,0.0455,1.0,0.7879,0.0,1,0.0189,0.7435,1200
8750,0.3062787102433464,7950,5,3,0.0914,0.2149,0.9083,0.8333,1,22,1142,0.06,0.0514,0.0,0.9086,0.9717,1,0.0816,0.8573,6070
9880,0.3804207688903147,9680,2,3,0.0202,0.3603,0.9798,0.3333,0,4,6,0.0,0.0445,0.0,0.9798,0.6667,2,0.0204,0.9354,6210
11970,0.4225322740601102,9610,4,1,0.1972,0.2256,0.803,0.6667,0,2,11,0.0,0.066,0.0,0.8028,0.8333,1,0.1595,0.7367,6910
8870,0.2355927964222151,6540,2,3,0.2627,-0.0271,0.737,0.3333,0,4,21,0.0,0.0259,1.0,0.7373,0.0,1,0.2378,0.7118,6780
540,0.05366011723348071,390,2,4,0.2778,-0.2222,0.7201,0.3333,0,2,26,0.0,0.0185,1.0,0.7222,0.0,1,0.0789,0.7052,510
3870,0.23086891112415897,3370,5,5,0.1292,0.1008,0.871,0.8333,0,0,6,0.0,0.0207,0.1236,0.8708,0.6158,1,0.1031,0.8493,2980
28690,0.12180974791352044,25050,4,0,0.1269,-0.0052,0.8732,0.6667,1,19,614,0.0436,0.0223,1.0,0.8731,0.0,2,0.0458,0.851,25200
10390,0.28910392438985627,7720,5,0,0.257,0.0318,0.7432,0.8333,1,50,40,0.0516,0.0327,0.78,0.743,0.2041,1,0.0336,0.7098,7390
2460,0.3407248812127186,1330,6,3,0.4593,-0.1179,0.5388,1.0,0,2,23,0.0,0.0203,1.0,0.5407,0.0,0,0.1153,0.5212,1620
3200,0.1473458103664491,3130,1,5,0.0219,0.125,0.9787,0.1667,0,1,2,0.0,0.0,0.0,0.9781,0.4861,0,0.0144,0.9787,2730
4720,0.13952704592904924,4110,1,2,0.1292,0.0106,0.8708,0.1667,0,0,23,0.0,0.0,0.8485,0.8708,0.0412,0,0.031,0.8708,4060
9690,0.06775066541329472,9020,2,2,0.0691,-0.001,0.9305,0.3333,1,38,1013,0.06,0.0526,1.0,0.9309,0.0,1,0.034,0.8781,9030
3460,0.39162938182979795,2550,5,1,0.263,0.1301,0.736,0.8333,0,2,25,0.0,0.0723,0.3382,0.737,0.7948,2,0.0615,0.6654,2100
13660,0.27629278559831644,11690,5,2,0.1442,0.1318,0.8555,0.8333,0,2,26,0.0,0.0695,0.0451,0.8558,0.8053,1,0.1,0.7861,9890
1390,0.14279170673227765,960,6,4,0.3094,-0.1655,0.694,1.0,0,1,9,0.0,0.0719,1.0,0.6906,0.0,1,0.2263,0.6171,1190
18200,0.0504480445920438,15510,2,2,0.1478,-0.0973,0.8519,0.3333,0,2,16,0.0,0.0005,1.0,0.8522,0.0,2,0.1365,0.8514,17280
8190,0.4399226975755718,4130,6,1,0.4957,-0.0562,0.5041,1.0,1,32,601,0.056,0.0037,1.0,0.5043,0.0,1,0.2743,0.5,4590
3980,0.12818906388840506,2250,4,5,0.4347,-0.3065,0.5662,0.6667,0,1,21,0.0,0.0553,1.0,0.5653,0.0,1,0.3567,0.5096,3470
19810,0.32042090287470176,14930,4,2,0.2463,0.0742,0.7538,0.6667,0,2,0,0.0,0.0606,0.537,0.7537,0.4122,0,0.2477,0.6932,13460
4120,0.16362893735977202,2480,2,5,0.3981,-0.2354,0.6031,0.3333,0,0,6,0.0,0.0752,1.0,0.6019,0.0,1,0.3381,0.5275,3450
1920,0.32219972082988524,1330,6,2,0.3073,0.0156,0.691,1.0,0,4,20,0.0,0.0781,0.9032,0.6927,0.1042,2,0.0299,0.6139,1300
860,0.0911322803523005,490,3,4,0.4302,-0.3372,0.5706,0.5,1,39,1038,0.06,0.0581,1.0,0.5698,0.0,1,0.1947,0.5126,780
9690,0.1149339304960924,5170,1,3,0.4665,-0.3519,0.5338,0.1667,0,1,19,0.0,0.0,1.0,0.5335,0.0,1,0.4612,0.5338,8580
6100,0.41473441398396443,5660,2,2,0.0721,0.3426,0.9271,0.3333,0,0,29,0.0,0.0393,0.0,0.9279,0.6667,1,0.0223,0.8886,3640
930,0.3431837600610191,630,5,5,0.3226,0.0215,0.6755,0.8333,0,4,17,0.0,0.0215,0.875,0.6774,0.1314,2,0.0619,0.6506,610
2480,0.3200092466536867,2340,3,5,0.0565,0.2621,0.9436,0.5,0,2,23,0.0,0.0605,0.0,0.9435,0.75,1,0.0289,0.8812,1690
3560,0.30184190756911133,2190,2,5,0.3848,-0.0843,0.6139,0.3333,0,0,12,0.0,0.0084,1.0,0.6152,0.0,1,0.2825,0.6069,2490
3360,0.39211323521017505,3120,2,3,0.0714,0.3214,0.9282,0.3333,0,0,7,0.0,0.0179,0.0,0.9286,0.6667,1,0.0245,0.9121,2040
3140,0.32582487868952265,2970,1,5,0.0541,0.2707,0.9465,0.1667,1,24,140,0.0296,0.0,0.0,0.9459,0.6006,1,0.0351,0.9465,2120
13320,0.2712005810367834,11160,6,2,0.1622,0.1089,0.8376,1.0,0,1,13,0.0,0.0518,0.1967,0.8378,0.7257,1,0.1096,0.7861,9710
730,0.12052738890449978,490,5,4,0.3288,-0.2055,0.6737,0.8333,0,1,5,0.0,0.0548,1.0,0.6712,0.0,1,0.1263,0.621,640
5120,0.32123931785968374,3950,3,1,0.2285,0.0918,0.7719,0.5,0,0,6,0.0,0.0547,0.4268,0.7715,0.459,1,0.0791,0.7175,3480
6500,0.22296749627348145,5530,4,1,0.1492,0.0738,0.8513,0.6667,0,0,3,0.0,0.0431,0.3379,0.8508,0.4103,1,0.0655,0.8078,5050
7400,0.48671161904083027,6590,2,1,0.1095,0.377,0.8903,0.3333,0,4,11,0.0,0.0797,0.0,0.8905,0.6667,1,0.0547,0.8109,3800
350,0.1573737447023133,190,6,4,0.4571,-0.2857,0.5523,1.0,0,4,5,0.0,0.0286,1.0,0.5429,0.0,1,0.0842,0.5,290
290,0.11075311986204824,240,6,4,0.1724,-0.069,0.8134,1.0,0,2,24,0.0,0.069,1.0,0.8276,0.0,1,0.0263,0.766,260
9700,0.20882633948427376,8100,3,3,0.1649,0.0443,0.8349,0.5,0,3,29,0.0,0.0268,0.5764,0.8351,0.2216,2,0.1633,0.8085,7670
20270,0.20428624665100753,11740,1,0,0.4208,-0.2166,0.579,0.1667,0,2,4,0.0,0.0,1.0,0.5792,0.0,1,0.1073,0.579,18090
64550,0.19633859109918805,33860,6,0,0.4754,-0.2792,0.5246,1.0,0,4,19,0.0,0.0215,1.0,0.5246,0.0,0,0.386,0.503,51880
2010,0.27609951414171763,1050,5,1,0.4776,-0.204,0.5227,0.8333,1,24,722,0.0529,0.0249,1.0,0.5224,0.0,2,0.0649,0.5,1460
3250,0.44056323253401,2900,3,5,0.1077,0.3323,0.8934,0.5,0,4,19,0.0,0.0092,0.0,0.8923,0.75,0,0.0722,0.8822,1820
10170,0.5349560230536352,7740,1,1,0.2389,0.296,0.7606,0.1667,0,1,0,0.0,0.0,0.0,0.7611,0.5833,2,0.1642,0.7606,6420
69240,0.24212984113094782,62270,3,0,0.1007,0.1415,0.8993,0.5,0,4,15,0.0,0.0542,0.0,0.8993,0.7077,0,0.0877,0.8452,52470
760,0.07389311678642077,520,6,4,0.3158,-0.2368,0.6906,1.0,1,57,618,0.06,0.0789,1.0,0.6842,0.0,1,0.1263,0.6111,700
5040,0.38379669278179235,4780,6,1,0.0516,0.3313,0.9483,1.0,1,5,851,0.039,0.0258,0.0,0.9484,1.0,1,0.0176,0.9229,3110
50600,0.20245795137467365,43650,5,0,0.1374,0.065,0.8626,0.8333,0,2,11,0.0,0.0478,0.3574,0.8626,0.3973,1,0.0874,0.8149,40360
3830,0.27520038910883365,3270,5,5,0.1462,0.1279,0.855,0.8333,0,1,24,0.0,0.0366,0.0667,0.8538,0.7818,1,0.1155,0.8166,2780
5360,0.1361243805792994,4930,4,3,0.0802,0.056,0.9189,0.6667,1,47,1034,0.06,0.0653,0.1781,0.9198,0.3296,2,0.0439,0.8538,4630
560,0.18905518171944602,450,4,4,0.1964,0.0,0.8114,0.6667,0,4,19,0.0,0.0,1.0,0.8036,0.0,0,0.0579,0.8033,450
4040,0.29262257450386453,3660,2,5,0.0941,0.198,0.9062,0.3333,0,0,29,0.0,0.0223,0.0,0.9059,0.6667,1,0.0784,0.8844,2860
2930,0.19763914461015503,2310,1,1,0.2116,-0.0137,0.7867,0.1667,1,8,588,0.0315,0.0,1.0,0.7884,0.0,1,0.0419,0.7867,2350
12870,0.25607006813349265,7040,4,2,0.453,-0.1966,0.5466,0.6667,0,4,9,0.0,0.0466,1.0,0.547,0.0,2,0.2959,0.5,9570
4670,0.41597903379281725,4170,4,1,0.1071,0.3084,0.8936,0.6667,1,37,271,0.0478,0.0064,0.0,0.8929,0.8732,1,0.0338,0.8859,2730
1500,0.17941956163148431,760,5,4,0.4933,-0.3133,0.5052,0.8333,1,36,679,0.06,0.0067,1.0,0.5067,0.0,2,0.3895,0.5,1230
79030,0.08410993813918329,66000,5,0,0.1649,-0.0807,0.8351,0.8333,1,15,1028,0.0561,0.0357,1.0,0.8351,0.0,1,0.1639,0.7994,72380
6110,0.16802949646439713,3170,5,3,0.4812,-0.3126,0.5188,0.8333,0,0,26,0.0,0.018,1.0,0.5188,0.0,0,0.3,0.5,5080
230,0.17005347617335426,180,3,4,0.2174,-0.0435,0.7905,0.5,1,48,410,0.06,0.0435,1.0,0.7826,0.0,1,0.0263,0.7431,190
10110,0.5470696806105838,9900,2,1,0.0208,0.5262,0.9788,0.3333,0,3,25,0.0,0.0366,0.0,0.9792,0.6667,1,0.0142,0.9431,4690
6870,0.428081664447623,4920,1,1,0.2838,0.1441,0.7159,0.1667,0,4,22,0.0,0.0,0.3265,0.7162,0.5604,2,0.1318,0.7159,4800
400,0.3080130787525351,260,4,3,0.35,-0.05,0.6477,0.6667,0,0,20,0.0,0.0,1.0,0.65,0.0,0,0.0143,0.6403,280
1940,0.16367865004804938,1440,5,1,0.2577,-0.0928,0.7428,0.8333,1,15,864,0.0496,0.0722,1.0,0.7423,0.0,2,0.0338,0.6678,1620
9440,0.35566783160334675,8020,6,3,0.1504,0.2055,0.8492,1.0,1,46,41,0.0476,0.0794,0.0,0.8496,1.0,1,0.1449,0.7698,6080
12130,0.4450152181535307,9750,4,1,0.1962,0.249,0.8039,0.6667,0,2,17,0.0,0.0016,0.0,0.8038,0.8333,0,0.1608,0.802,6730
3260,0.4201162536354624,2610,1,5,0.1994,0.2209,0.8016,0.1667,1,5,1163,0.0515,0.0,0.0,0.8006,0.6134,0,0.134,0.8016,1890
1930,0.08067753922347211,1510,2,5,0.2176,-0.1347,0.7805,0.3333,1,36,121,0.0408,0.0104,1.0,0.7824,0.0,2,0.0866,0.7741,1770
1760,0.09166289356238919,890,6,4,0.4943,-0.4034,0.5039,1.0,0,2,4,0.0,0.0057,1.0,0.5057,0.0,0,0.4579,0.5,1600
11360,0.3597488757037938,8680,1,1,0.2359,0.1241,0.7644,0.1667,0,3,29,0.0,0.0,0.3105,0.7641,0.4827,1,0.1811,0.7644,7750
3510,0.07803130915852821,2740,4,5,0.2194,-0.1425,0.7795,0.6667,0,4,19,0.0,0.0199,1.0,0.7806,0.0,2,0.1588,0.7609,3240
13320,0.27489232441066125,11410,5,1,0.1434,0.1314,0.8566,0.8333,0,4,21,0.0,0.0383,0.0437,0.8566,0.8029,2,0.1291,0.8181,9660
890,0.12220162274529855,780,6,4,0.1236,0.0,0.8714,1.0,0,4,0,0.0,0.0562,1.0,0.8764,0.0,2,0.0579,0.8169,780
1620,0.19393649664815504,1280,4,4,0.2099,-0.0185,0.7891,0.6667,0,4,25,0.0,0.0556,1.0,0.7901,0.0,0,0.1789,0.7374,1310
1720,0.38181068482450986,1410,3,5,0.1802,0.2035,0.8226,0.5,1,17,654,0.0432,0.0349,0.0,0.8198,0.7824,2,0.0639,0.7858,1060
2940,0.3756116096932383,2750,4,3,0.0646,0.3095,0.9345,0.6667,0,0,14,0.0,0.0408,0.0,0.9354,0.8333,2,0.0194,0.8949,1840
41710,0.08754225020426042,37410,4,0,0.1031,-0.0156,0.8969,0.6667,0,2,0,0.0,0.0034,1.0,0.8969,0.0,2,0.0541,0.8935,38090
